City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Marsh Harbour,BS,2021-11-08 05:43:27,26.5412,-77.0636,75.61,73,74,20.54
156,Kurmanayevka,RU,2021-11-08 05:43:28,52.5093,52.0675,38.62,81,51,7.54
157,Aykhal,RU,2021-11-08 05:43:28,66.0,111.5,20.89,93,98,18.77
158,Bulgan,MN,2021-11-08 05:43:28,48.8125,103.5347,29.37,47,45,3.6
159,Pemangkat,ID,2021-11-08 05:43:29,1.1667,108.9667,85.08,67,58,9.57
160,Severo-Kurilsk,RU,2021-11-08 05:39:18,50.6789,156.125,36.36,66,97,23.71
161,Arman,RU,2021-11-08 05:43:29,59.7,150.1667,18.37,79,100,7.99
162,Ponta Do Sol,PT,2021-11-08 05:39:42,32.6667,-17.1,66.83,64,13,5.77
163,Kankon,IN,2021-11-08 05:43:29,15.0167,74.0167,85.8,60,76,1.83
164,Mathbaria,BD,2021-11-08 05:43:30,22.2876,89.9593,81.81,51,49,7.76
165,Rognan,NO,2021-11-08 05:43:30,67.0953,15.3878,28.89,84,3,5.93
166,Hirara,JP,2021-11-08 05:43:30,24.8,125.2833,71.87,83,75,19.57
167,Sept-Iles,CA,2021-11-08 05:43:31,50.2001,-66.3821,43.23,86,90,1.01
168,Sisimiut,GL,2021-11-08 05:43:31,66.9395,-53.6735,14.77,86,93,8.75
169,Hualmay,PE,2021-11-08 05:43:31,-11.0964,-77.6139,63.12,86,98,6.78
170,Saint-Joseph,RE,2021-11-08 05:43:32,-21.3667,55.6167,80.96,71,19,10.58
171,Sorrento,IT,2021-11-08 05:43:32,40.626,14.3744,64.11,45,100,5.99
172,Adjumani,UG,2021-11-08 05:43:32,3.3779,31.7909,69.75,89,100,1.61
173,Louis Trichardt,ZA,2021-11-08 05:43:33,-23.0439,29.9032,77.59,51,64,10.8
174,Pailitas,CO,2021-11-08 05:43:33,8.9565,-73.6255,73.53,96,98,2.8
175,Kulhudhuffushi,MV,2021-11-08 05:43:33,6.6221,73.07,81.1,75,86,13.47
176,Chuy,UY,2021-11-08 05:43:34,-33.6971,-53.4616,51.84,87,11,1.25
